Team,Group,points,GoalsFor,GoalsAgainst,GoalDiff,FormBias,RankImprove,currentRank,newRank
Uruguay,A,9,5,0,5,155.56,0.56,14,6.2
Russia,A,6,8,4,4,111.11,0.11,70,62.2
Spain,B,5,6,5,1,66.67,-0.33,10.00,13.3
Portugal,B,5,5,4,1,66.67,-0.33,4.00,5.3
France,C,7,3,1,2,100.00,0.00,7.00,7.0
Denmark,C,5,2,1,1,66.67,-0.33,12.00,16.0
Croatia,D,9,7,1,6,166.67,0.67,20.00,6.7
Argentina,D,4,3,5,-2,22.22,-0.78,5.00,8.9
Brazil,E,7,5,1,4,122.22,0.22,2.00,1.6
Switzerland,E,5,5,4,1,66.67,-0.33,6.00,8.0
Sweden,F,6,5,2,3,100.00,0.00,24.00,24.0
Mexico,F,6,3,4,-1,55.56,-0.44,15.00,21.7
Belgium,G,9,9,2,7,177.78,0.78,3.00,0.7
England,G,6,8,3,5,122.22,0.22,12.00,9.3
Colombia,H,6,5,2,3,100.00,0.00,16.00,16.0
Japan,H,4,4,4,0,44.44,-0.56,61.00,94.9
,,,,,,,,,
,,,,,,,,,
